run_id,0_Avg-Duration_s,0_Min-Duration_s,0_Max-Duration_s,0_Median-Duration_s,0_MainRank-Duration_s
1,0.003147025,0.003142011,0.003153158,0.003146465,0.003142011
1,0.003139215,0.003135173,0.003144672,0.003138507,0.003135526
1,0.003153357,0.003147925,0.003160072,0.003152715,0.003147925
1,0.003149877,0.00314507,0.003155311,0.003149564,0.00314507
1,0.003131531,0.003129741,0.003133812,0.003131285,0.003129741
1,0.003135945,0.003134088,0.003138236,0.003135728,0.003135208
1,0.003131186,0.003129008,0.003132946,0.003131394,0.003129008
1,0.003141912,0.003135337,0.003149816,0.003141248,0.003135337
1,0.003136808,0.00313504,0.00313912,0.003136536,0.00313504
1,0.003131342,0.003130005,0.003132743,0.00313131,0.003130005
1,0.003147019,0.003142021,0.003152576,0.003146738,0.003142021
1,0.003134101,0.0031321,0.003137074,0.003133614,0.003132925
1,0.003147137,0.003140693,0.003154849,0.003146502,0.003140693
1,0.003131817,0.003130314,0.003134802,0.003131076,0.003130694
1,0.003133124,0.00313114,0.003137049,0.003132154,0.003131144
1,0.003128711,0.003126691,0.003131134,0.003128509,0.003126691
1,0.003133807,0.003131969,0.003135308,0.003133976,0.003131969
1,0.003137344,0.003133462,0.003141352,0.003137282,0.003134718
1,0.003131986,0.003130246,0.00313431,0.003131694,0.003130246
1,0.003130838,0.003129768,0.003132824,0.003130379,0.003129776
1,0.003128649,0.00312686,0.003129972,0.003128882,0.00312686
1,0.003147426,0.00314232,0.003153344,0.00314702,0.00314232
1,0.003133195,0.003131609,0.003135829,0.003132672,0.003131609
1,0.003141881,0.003135919,0.003147698,0.003141953,0.003135919
1,0.003130216,0.0031287,0.003133101,0.00312953,0.0031287
1,0.003131498,0.003129247,0.003133698,0.003131523,0.003129247
1,0.003136286,0.003134727,0.003138135,0.003136141,0.003134727
1,0.003140569,0.003134692,0.003147006,0.003140289,0.003134692
1,0.0031503,0.003146304,0.003155561,0.003149668,0.003146743
1,0.003128137,0.003126343,0.003130718,0.003127744,0.003126343
1,0.003131877,0.003130662,0.003133793,0.003131526,0.003130662
1,0.003127273,0.00312557,0.003128624,0.003127449,0.00312557
1,0.003129737,0.003128343,0.003131582,0.003129511,0.003128343
